Name	Genomic coordinates (GRCh37)	Genomic coordinates (GRCh38)	Associated Phenotype	Luciferase vector	MPRA vector	Cell line	Transf. time (hr)	Fold change (Wild type)	Fold Change (MPRA)	Construct size (bp)
BCL11A+58	"chr2:60,722,075-60,722,674"	"chr2:60,494,940-60,495,539"	Sickle cell disease	pGL4.23	pGL4.23d	HEL 92.1.7	24	2.5	1.7	600
IRF4	"chr6:396,143-396,593"	"chr6:396,143-396,593"	Human pigmentation	pGL4.23	pGL4.23d	SK-MEL-28	24	44.5	16.3	451
IRF6	"chr1:209,989,135-209,989,735"	"chr1:209,815,790-209,816,390"	Cleft lip	pGL4.23	pGL4.23c	HaCaT	24	17	16.7	600
MYC (rs6983267)	"chr8:128,413,074-128,413,673"	"chr8:127,400,829-127,401,428"	Various types of cancer	pGL4.23	pGL4.23c	HEK293T	"32, 20nM LiCl added after 24hr"	2.8	0.7	600
MYC (rs11986220)	"chr8:128,531,515-128,531,977"	"chr8:127,519,270-127,519,732"	Various types of cancer	pGL4.23	pGL4.23d	LNCaP + 100nM DHT	24	5.5	3.2	464
RET	"chr10:43,581,927-43,582,526"	"chr10:43,086,479-43,087,078"	Hirschsprung	pGL3	pGL3c	Neuro-2a	24	2	0.9	600
SORT1	"chr1:109,817,274-109,817,873"	"chr1:109,274,652-109,275,251"	Plasma low-density lipoprotein cholesterol & myocardial infarction	pGL4.23	pGL4.23c	HepG2	24	235.3	202.2	600
TCF7L2	"chr10:114,757,999-114,758,598"	"chr10:112,998,240-112,998,839"	Type 2 diabetes	pGL4.23	pGL4.23d	MIN6	24	9	2.7	600
UC88	"chr2:162,094,919-162,095,508"	"chr2:161,238,408-161,238,997"	-	pGL4.23	pGL4.23c	Neuro-2a	24	9.3	5.4	590
ZFAND3	"chr6:37,775,275-37,775,853"	"chr6:37,807,499-37,808,077"	Type 2 diabetes	pGL4.23	pGL4.23c	MIN6	24	14.3	7.3	579
ZRS	"chr7:156,583,813-156,584,297"	"chr7:156,791,119-156,791,603"	Limb malformations	TATA-pGL4m (EV087)	pGL4Zc	NIH/3T3 (with HOXD13/ HOXD13+HAND2)	24	04.02.2002	3.7/2.6	485
